ts,profile,regime,gold_symbol,btc_symbol,gold_rsi,btc_rsi,rsi_spread,gold_btc_ratio_return,long_budget_multiplier,short_budget_multiplier,ladder_multiplier,disable_new_entries,disable_averaging,disable_recovery,reason
1779531574,long,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.53381613,25.63640108,-14.89741505,0.02891126,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779532503,long,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.53381613,25.63640108,-14.89741505,0.02891126,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779533406,long,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.53381613,25.63640108,-14.89741505,0.02891126,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779534310,long,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.53381613,25.63640108,-14.89741505,0.02891126,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779535277,long,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.53381613,25.63640108,-14.89741505,0.02891126,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779536223,long,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.53381613,25.63640108,-14.89741505,0.02891126,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779537126,long,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.53381613,25.63640108,-14.89741505,0.02891126,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779538031,long,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.01379334,28.55146946,-11.46232388,0.03632220,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779538939,long,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.01379334,28.55146946,-11.46232388,0.03632220,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779539892,long,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.01379334,28.55146946,-11.46232388,0.03632220,1.00000000,1.00000000,1.00000000,0,0,0,neutral
