ts,profile,regime,gold_symbol,btc_symbol,gold_rsi,btc_rsi,rsi_spread,gold_btc_ratio_return,long_budget_multiplier,short_budget_multiplier,ladder_multiplier,disable_new_entries,disable_averaging,disable_recovery,reason
1779531491,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.53381613,25.63640108,-14.89741505,0.02891126,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779532410,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.53381613,25.63640108,-14.89741505,0.02891126,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779533316,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.53381613,25.63640108,-14.89741505,0.02891126,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779534271,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.53381613,25.63640108,-14.89741505,0.02891126,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779535234,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.53381613,25.63640108,-14.89741505,0.02891126,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779536139,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.53381613,25.63640108,-14.89741505,0.02891126,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779537103,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.53381613,25.63640108,-14.89741505,0.02891126,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779538055,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.01379334,28.55146946,-11.46232388,0.03632220,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779538961,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.01379334,28.55146946,-11.46232388,0.03632220,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779539914,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.01379334,28.55146946,-11.46232388,0.03632220,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779540869,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.01379334,28.55146946,-11.46232388,0.03632220,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779541777,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.01379334,28.55146946,-11.46232388,0.03632220,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779542682,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.01379334,28.55146946,-11.46232388,0.03632220,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779543631,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.01379334,28.55146946,-11.46232388,0.03632220,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779544540,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,40.01379334,28.55146946,-11.46232388,0.03632220,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779548274,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,macro_context_stale
1779561013,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,43.07353647,37.88514520,-5.18839126,0.02677550,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779561941,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,43.07353647,37.88514520,-5.18839126,0.02677550,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779562894,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,43.07353647,37.88514520,-5.18839126,0.02677550,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779563853,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,43.07353647,37.88514520,-5.18839126,0.02677550,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779565213,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,43.07353647,37.88514520,-5.18839126,0.02677550,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779566133,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,43.07353647,37.88514520,-5.18839126,0.02677550,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779567049,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,44.98967267,43.01193430,-1.97773838,0.01512043,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779567999,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,44.98967267,43.01193430,-1.97773838,0.01512043,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779568963,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,44.98967267,43.01193430,-1.97773838,0.01512043,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779569920,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,44.98967267,43.01193430,-1.97773838,0.01512043,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779570878,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,44.98967267,43.01193430,-1.97773838,0.01512043,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779571842,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,44.98967267,43.01193430,-1.97773838,0.01512043,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779572745,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,44.98967267,43.01193430,-1.97773838,0.01512043,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779573685,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,44.98967267,43.01193430,-1.97773838,0.01512043,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779574586,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,44.98967267,43.01193430,-1.97773838,0.01512043,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779575495,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,44.98967267,43.01193430,-1.97773838,0.01512043,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779594548,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0,0,0,macro_context_stale
1779594737,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,47.96036649,50.34921432,2.38884783,0.00805933,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779595678,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,49.64538765,50.24385345,0.59846580,0.00776537,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779596613,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,49.64538765,50.24385345,0.59846580,0.00776537,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779597578,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,49.64538765,50.24385345,0.59846580,0.00776537,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779598497,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,49.64538765,50.24385345,0.59846580,0.00776537,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779599437,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,49.64538765,50.24385345,0.59846580,0.00776537,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779600353,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,49.64538765,50.24385345,0.59846580,0.00776537,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779601298,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,49.64538765,50.24385345,0.59846580,0.00776537,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779602204,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,49.64538765,50.24385345,0.59846580,0.00776537,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779603153,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,49.64538765,50.24385345,0.59846580,0.00776537,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779604074,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,49.64538765,50.24385345,0.59846580,0.00776537,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779605004,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,49.64538765,50.24385345,0.59846580,0.00776537,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779605910,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,49.64538765,50.24385345,0.59846580,0.00776537,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779606881,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,49.64538765,50.24385345,0.59846580,0.00776537,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779607789,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,49.64538765,50.24385345,0.59846580,0.00776537,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779608702,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,49.64538765,50.24385345,0.59846580,0.00776537,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779609672,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,48.78921914,50.95790085,2.16868171,0.00710885,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779610603,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,48.78921914,50.95790085,2.16868171,0.00710885,1.00000000,1.00000000,1.00000000,0,0,0,neutral
1779611511,short,neutral,XAUT/USDT:USDT,BTC/USDT:USDT,48.78921914,50.95790085,2.16868171,0.00710885,1.00000000,1.00000000,1.00000000,0,0,0,neutral
