ts,profile,severity,category,event,symbol,operation_id,signal_id,order_id,exception_type,error_code,message,reason,retryable,attempt,hostname,dry_run
1779520975,short,warning,network,signal_invalid,BTC/USDT:USDT,,,,RequestTimeout,,Transient HTX public API failure while fetching candles for BTC/USDT:USDT; retry 1/4 via api.hbdm.vn: htx GET https://api.hbdm.vn/linear-swap-ex/market/history/kline?period=1min&size=1441&from=1779434544&to=1779520944&contract_code=BTC-USDT,ohlcv_network_retry,1,1,api.hbdm.vn,0
1779521006,short,warning,network,signal_invalid,BTC/USDT:USDT,,,,RequestTimeout,,Transient HTX public API failure while fetching candles for BTC/USDT:USDT; retry 2/4 via api.hbdm.com: htx GET https://api.hbdm.com/linear-swap-ex/market/history/kline?period=1min&size=1441&from=1779434575&to=1779520975&contract_code=BTC-USDT,ohlcv_network_retry,1,2,api.hbdm.com,0
1779521038,short,warning,network,signal_invalid,BTC/USDT:USDT,,,,RequestTimeout,,Transient HTX public API failure while fetching candles for BTC/USDT:USDT; retry 3/4 via api.hbdm.vn: htx GET https://api.hbdm.vn/linear-swap-ex/market/history/kline?period=1min&size=1441&from=1779434607&to=1779521007&contract_code=BTC-USDT,ohlcv_network_retry,1,3,api.hbdm.vn,0
1779521070,short,warning,api,signal_invalid,BTC/USDT:USDT,,,,,,BTC benchmark candles unavailable: htx GET https://api.hbdm.com/linear-swap-ex/market/history/kline?period=1min&size=1441&from=1779434639&to=1779521039&contract_code=BTC-USDT,benchmark_unavailable,0,,,0
1779521200,short,error,state,unexpected_long_position,DOGE/USDT:USDT,,,,,,Unexpected long position detected for DOGE/USDT:USDT; trading disabled for symbol,long_position_detected,0,,,0
1779521200,short,error,state,unexpected_long_position,ARB/USDT:USDT,,,,,,Unexpected long position detected for ARB/USDT:USDT; trading disabled for symbol,long_position_detected,0,,,0
1779521293,short,warning,network,state_exchange_mismatch,WLD/USDT:USDT,,,1507584320531136512,RequestTimeout,,Cancel failed for WLD/USDT:USDT order 1507584320531136512: htx POST https://api.hbdm.com/linear-swap-api/v1/swap_cross_cancel?AccessKeyId=52ba2d61-vqgdf4gsga-26f3d107-53beb&SignatureMethod=HmacSHA256&SignatureVersion=2&Timestamp=2026-05-23T07%3A27%3A44&Signature=%2FCi%2Fexq%2Fkf6FXgK5teYvH4%2FCHj%2FovQ9WlYuLqOqSxzY%3D,cancel_failed,1,,,0
1779521294,short,error,state,unexpected_long_position,PYTH/USDT:USDT,,,,,,Unexpected long position detected for PYTH/USDT:USDT; trading disabled for symbol,long_position_detected,0,,,0
1779521294,short,warning,state,state_exchange_mismatch,XLM/USDT:USDT,,,,,,Exchange has a short position not present in state for XLM/USDT:USDT; adopting it,state_empty_exchange_short,0,,,0
1779521294,short,warning,state,state_exchange_mismatch,ETHFI/USDT:USDT,,,,,,Exchange has a short position not present in state for ETHFI/USDT:USDT; adopting it,state_empty_exchange_short,0,,,0
1779521294,short,warning,state,state_exchange_mismatch,ZRO/USDT:USDT,,,,,,Exchange has a short position not present in state for ZRO/USDT:USDT; adopting it,state_empty_exchange_short,0,,,0
1779521294,short,error,state,unexpected_long_position,CFX/USDT:USDT,,,,,,Unexpected long position detected for CFX/USDT:USDT; trading disabled for symbol,long_position_detected,0,,,0
1779521294,short,warning,state,state_exchange_mismatch,SAND/USDT:USDT,,,,,,Exchange has a short position not present in state for SAND/USDT:USDT; adopting it,state_empty_exchange_short,0,,,0
1779521450,short,warning,network,signal_invalid,BTC/USDT:USDT,,,,RequestTimeout,,Transient HTX public API failure while fetching candles for BTC/USDT:USDT; retry 1/4 via api.hbdm.vn: htx GET https://api.hbdm.vn/linear-swap-ex/market/history/kline?period=1min&size=1441&from=1779435020&to=1779521420&contract_code=BTC-USDT,ohlcv_network_retry,1,1,api.hbdm.vn,0
1779521482,short,warning,network,signal_invalid,BTC/USDT:USDT,,,,RequestTimeout,,Transient HTX public API failure while fetching candles for BTC/USDT:USDT; retry 2/4 via api.hbdm.com: htx GET https://api.hbdm.com/linear-swap-ex/market/history/kline?period=1min&size=1441&from=1779435051&to=1779521451&contract_code=BTC-USDT,ohlcv_network_retry,1,2,api.hbdm.com,0
1779521513,short,warning,network,signal_invalid,BTC/USDT:USDT,,,,RequestTimeout,,Transient HTX public API failure while fetching candles for BTC/USDT:USDT; retry 3/4 via api.hbdm.vn: htx GET https://api.hbdm.vn/linear-swap-ex/market/history/kline?period=1min&size=1441&from=1779435083&to=1779521483&contract_code=BTC-USDT,ohlcv_network_retry,1,3,api.hbdm.vn,0
1779521546,short,warning,api,signal_invalid,BTC/USDT:USDT,,,,,,BTC benchmark candles unavailable: htx GET https://api.hbdm.com/linear-swap-ex/market/history/kline?period=1min&size=1441&from=1779435115&to=1779521515&contract_code=BTC-USDT,benchmark_unavailable,0,,,0
1779521708,short,warning,network,state_exchange_mismatch,,,,,,,Transient HTX private API failure while fetching bulk open orders; retry 1/4 via api.hbdm.com: htx POST https://api.hbdm.com/linear-swap-api/v1/swap_cross_openorders?AccessKeyId=52ba2d61-vqgdf4gsga-26f3d107-53beb&SignatureMethod=HmacSHA256&SignatureVersion=2&Timestamp=2026-05-23T07%3A34%3A38&Signature=UQgNT3lgYLY5Lwhu6ToPVjOVCqdZUCRJJJB%2F%2B5TdCDg%3D,bulk_open_orders_fetch_failed_network_retry,0,,,0
1779521741,short,error,api,reduce_only_violation_prevented,TAO/USDT:USDT,,,,,,Buy reduce-only order failed for TAO/USDT:USDT: htx POST https://api.hbdm.vn/linear-swap-api/v1/swap_cross_order?AccessKeyId=52ba2d61-vqgdf4gsga-26f3d107-53beb&SignatureMethod=HmacSHA256&SignatureVersion=2&Timestamp=2026-05-23T07%3A35%3A12&Signature=79DnBv9U3DH1LH%2F39Npjd8hh7A7XF7Owb5zZmNjxZ3c%3D,exit_order_rejected,0,,,0
1779521741,short,warning,state,state_exchange_mismatch,WLD/USDT:USDT,,,,,,Tracked buy exit ladder for WLD/USDT:USDT is temporarily absent from open-orders response; preserving refs,tracked_exit_orders_temporarily_invisible_preserved,0,,,0
1779521932,short,warning,network,signal_invalid,BTC/USDT:USDT,,,,RequestTimeout,,Transient HTX public API failure while fetching candles for BTC/USDT:USDT; retry 1/4 via api.hbdm.com: htx GET https://api.hbdm.com/linear-swap-ex/market/history/kline?period=1min&size=1441&from=1779435501&to=1779521901&contract_code=BTC-USDT,ohlcv_network_retry,1,1,api.hbdm.com,0
1779521963,short,warning,network,signal_invalid,BTC/USDT:USDT,,,,RequestTimeout,,Transient HTX public API failure while fetching candles for BTC/USDT:USDT; retry 2/4 via api.hbdm.vn: htx GET https://api.hbdm.vn/linear-swap-ex/market/history/kline?period=1min&size=1441&from=1779435533&to=1779521933&contract_code=BTC-USDT,ohlcv_network_retry,1,2,api.hbdm.vn,0
1779521995,short,warning,network,signal_invalid,BTC/USDT:USDT,,,,RequestTimeout,,Transient HTX public API failure while fetching candles for BTC/USDT:USDT; retry 3/4 via api.hbdm.com: htx GET https://api.hbdm.com/linear-swap-ex/market/history/kline?period=1min&size=1441&from=1779435564&to=1779521964&contract_code=BTC-USDT,ohlcv_network_retry,1,3,api.hbdm.com,0
1779522027,short,warning,api,signal_invalid,BTC/USDT:USDT,,,,,,BTC benchmark candles unavailable: htx GET https://api.hbdm.vn/linear-swap-ex/market/history/kline?period=1min&size=1441&from=1779435597&to=1779521997&contract_code=BTC-USDT,benchmark_unavailable,0,,,0
